Zr	Fescp	Fbary	sfe	yfe2
   5.3362100e+00   1.2298917e+01   1.8222346e-01   5.0790017e-11   4.9177744e-02
   5.3627616e+00   2.8277883e+01   5.7218775e-02   1.3124957e-10   1.9629713e-01
   5.4103685e+00   8.7814190e+01   1.0539919e-01   9.8153534e-11   1.9000734e-01
   5.4679843e+00   7.6922030e+01   1.1586229e-01   1.3845698e-10   1.8581445e-01
   5.5363661e+00   9.1886115e+01   1.4324448e-01   2.5449688e-11   1.4466661e-01
   5.5948336e+00   9.8101945e+01   4.1323330e-03   1.3308237e-10   1.0145755e-01
   5.6367836e+00   6.7672097e+01   1.5373291e-01   1.7503509e-10   1.2370692e-01
   5.7103799e+00   1.1080408e+02   4.4929103e-02   1.0031615e-10   9.9794527e-02
   5.7953847e+00   8.1190566e+00   2.4437612e-02   8.0244709e-11   1.6896782e-01
   5.8350691e+00   1.5134948e+01   1.9371380e-02   1.1832004e-10   1.3471608e-01
   5.9034287e+00   2.3991752e+01   1.7603526e-01   5.5056663e-11   8.3897755e-02
   5.9612463e+00   8.5938099e+01   1.2973948e-01   1.6421200e-10   1.2712111e-01
   5.9848300e+00   9.7159634e+01   8.4884506e-02   2.1735774e-11   6.6788172e-02
   6.0824440e+00   3.5242995e+01   8.9298144e-02   5.3047731e-11   6.8650989e-02
   6.1387192e+00   3.0249779e+01   1.0256052e-01   1.7078343e-10   1.3671406e-01
   6.2053892e+00   3.7223847e+01   1.9373941e-01   7.9537377e-11   1.6688982e-01
   6.2360106e+00   3.9460703e+01   1.5167025e-01   9.0920982e-11   1.5074061e-01
   6.3032283e+00   1.1156151e+02   7.6927724e-02   1.3241154e-10   1.1833515e-01
   6.3785940e+00   6.6551509e+01   9.4643344e-02   1.3657801e-10   1.1927047e-01
   6.4121128e+00   4.6849416e+01   1.1944734e-01   1.0174435e-10   7.4820335e-02
   6.4610911e+00   9.6504219e+01   3.9994535e-02   1.2773358e-10   7.0441946e-02
   6.5450632e+00   5.6745940e+01   5.4981630e-02   5.1927853e-11   1.4508889e-01
   6.5963268e+00   9.7263217e+00   1.5037081e-01   2.6018716e-11   1.5325882e-01
   6.6671054e+00   9.8863356e+01   1.9154699e-01   1.2727168e-10   1.1001921e-01
   6.7223316e+00   5.8644459e+01   1.1173219e-01   3.8494590e-11   1.1669650e-01
   6.7847631e+00   2.7699812e+01   1.6719350e-01   9.1765362e-11   1.9544364e-01
   6.8425603e+00   1.0065494e+02   1.1356706e-01   2.8405933e-11   1.6945915e-01
   6.8962122e+00   6.9919769e+01   6.2135133e-02   8.3796777e-11   1.8328644e-01
   6.9554068e+00   6.3012463e+01   1.6316463e-01   9.3426149e-11   1.9737541e-01
   7.0062656e+00   1.8576053e+01   6.3607567e-02   1.5121161e-10   6.0999542e-02
   7.0501629e+00   1.0443711e+02   3.6454928e-02   4.5842269e-11   1.8471342e-01
   7.0798714e+00   3.6134609e+01   3.7661907e-02   3.6610301e-11   9.0515572e-02
   7.1593476e+00   4.0396762e+01   1.4549897e-01   1.3639572e-10   7.2110291e-02
   7.2364679e+00   9.3767646e+01   1.7961594e-01   2.9747596e-11   1.5130547e-01
   7.2688479e+00   1.0787231e+02   6.4735836e-02   4.4620782e-11   1.3105970e-01
   7.3078460e+00   7.2461114e+01   1.7879872e-01   1.4206833e-10   8.2570571e-02
   7.4153742e+00   8.6992048e+01   8.0736984e-02   1.4901452e-10   1.0949500e-01
   7.4563360e+00   4.4135605e+01   1.4723177e-01   4.5518149e-11   6.0113623e-02
   7.5012111e+00   1.0385616e+02   1.1491373e-01   1.3463181e-10   1.3249595e-01
   7.5424883e+00   3.2986330e+01   5.3447405e-02   1.6762604e-10   1.2503798e-01
   7.6108821e+00   5.3098882e+01   1.0267243e-02   1.7892569e-10   7.7902678e-02
   7.7064106e+00   2.9609726e+01   1.1606326e-01   1.2065014e-10   4.9597300e-02
   7.7413255e+00   4.4529989e+01   4.4108370e-02   9.4118968e-11   5.7268909e-02
   7.8081632e+00   7.3064843e+01   1.2155319e-01   1.2497595e-10   6.8162883e-02
   7.8737815e+00   8.1340683e+01   9.1918142e-02   1.4741536e-10   9.7833619e-02
